,Lane,Vehicle Type,Vehicle Class,GVW,Axle Number,Axle Spacing,Axle Weight,Speed,Gap Time,Hour,Minute,Second,Cumulative Gap Time
19,1.0,Private Car,2.0,0.0,0.0,0,0,66.95423060966841,2.6250939321360556,0.0,0.0,42.04619800066253,42.04619800066253
20,1.0,Motorbike,1.0,0.0,0.0,0,0,65.44579024346592,1.4898370990092364,0.0,0.0,43.536035099671764,43.536035099671764
21,1.0,HDV,8.0,17358.806006524734,2.0,[639.7333524680614],"[6573.320853763029, 10785.485152761705]",62.32314057745156,0.1522825740367208,0.0,0.0,43.68831767370848,43.68831767370848
22,1.0,Motorbike,1.0,0.0,0.0,0,0,68.52204631294072,0.11889457110093238,0.0,0.0,43.80721224480941,43.80721224480941
23,1.0,Private Car,2.0,0.0,0.0,0,0,61.290218404492045,0.2170532408309619,0.0,0.0,44.02426548564038,44.02426548564038
24,1.0,Motorbike,1.0,0.0,0.0,0,0,78.8574788093137,3.766493698429249,0.0,0.0,47.79075918406963,47.79075918406963
25,1.0,HDV,9.0,2497.782504561683,4.0,"[158.37361710113842, 361.3904649123046, 616.8822456173414]","[684.1521300028975, 696.074523857899, 392.7044110762329, 724.8514396246535]",65.43912921999544,9.668605735040787,0.0,0.0,57.45936491911041,57.45936491911041
26,1.0,Motorbike,1.0,0.0,0.0,0,0,93.89538012139808,0.25421830009839497,0.0,0.0,57.71358321920881,57.71358321920881
27,1.0,Motorbike,1.0,0.0,0.0,0,0,68.53519864811891,2.6339185034876973,0.0,1.0,0.3475017226965065,60.34750172269651
28,1.0,Motorbike,1.0,0.0,0.0,0,0,30.04932091822427,1.5139612966220264,0.0,1.0,1.8614630193185349,61.861463019318535
29,1.0,Motorbike,1.0,0.0,0.0,0,0,56.145288001574436,0.07547409114460928,0.0,1.0,1.9369371104631412,61.93693711046314
30,1.0,Private Car,2.0,0.0,0.0,0,0,77.60376288972994,1.3741047446360513,0.0,1.0,3.311041855099191,63.31104185509919
31,1.0,HDV,4.0,5885.0875849553295,2.0,[337.6567212625337],"[3222.4391232100193, 2662.6484617453098]",66.99914967860443,1.590480559657919,0.0,1.0,4.90152241475711,64.90152241475711
32,1.0,Private Car,2.0,0.0,0.0,0,0,68.5674865798882,4.7133640569668165,0.0,1.0,9.61488647172392,69.61488647172392
33,1.0,Motorbike,1.0,0.0,0.0,0,0,62.32207386987761,3.73220081713499,0.0,1.0,13.347087288858916,73.34708728885892
34,1.0,HDV,8.0,20082.35423793944,3.0,"[593.96603864324, 99.01613108633919]","[6969.992167887758, 4323.438501999004, 8788.923568052673]",71.6549656123301,0.0,0.0,1.0,13.347087288858916,73.34708728885892
35,1.0,HDV,9.0,63707.83688715752,4.0,"[192.78940017192787, 380.723189255806, 142.69161709889553]","[13453.01025026544, 10281.7713510901, 27083.171047124717, 12889.884238677261]",77.63959687385795,2.5832199059813794,0.0,1.0,15.930307194840296,75.9303071948403
36,1.0,HDV,4.0,5233.045674953309,2.0,[325.504630791851],"[2195.725494891044, 3037.320180062264]",52.096344801699686,2.6882113915852024,0.0,1.0,18.618518586425495,78.6185185864255
37,1.0,Private Car,2.0,0.0,0.0,0,0,62.352704150787275,1.354220582607933,0.0,1.0,19.97273916903343,79.97273916903343
38,1.0,HDV,9.0,23950.869056630276,2.0,[242.19207621006422],"[3083.098431207432, 20867.770625422847]",48.07589563045264,0.08659481934852449,0.0,1.0,20.05933398838195,80.05933398838195
39,1.0,HDV,6.0,32926.35772202495,3.0,"[585.9641714529217, 144.83126281457564]","[7613.330216891284, 13588.865540105766, 11724.1619650279]",57.15765362942606,0.1225759647897243,0.0,1.0,20.18190995317167,80.18190995317167
40,1.0,HDV,6.0,20298.324079252718,3.0,"[322.04210005596207, 145.85646478545587]","[5890.938920813851, 9313.729326182596, 5093.655832256268]",78.85883591588096,10.67310908643002,0.0,1.0,30.855019039601686,90.85501903960169
41,1.0,Motorbike,1.0,0.0,0.0,0,0,58.18444115294581,2.6363672826480187,0.0,1.0,33.49138632224971,93.49138632224971
42,1.0,HDV,9.0,2563.1766947998967,2.0,[487.5641314060467],"[1508.7268617992238, 1054.449833000673]",60.269333429101685,2.619111254804195,0.0,1.0,36.110497577053906,96.1104975770539
43,1.0,Private Car,2.0,0.0,0.0,0,0,83.8283543906504,2.6391405841646525,0.0,1.0,38.749638161218556,98.74963816121856
44,1.0,Motorbike,1.0,0.0,0.0,0,0,75.53556921006161,2.6484728573506677,0.0,1.0,41.398111018569224,101.39811101856922
45,1.0,Motorbike,1.0,0.0,0.0,0,0,90.87073955002906,1.5902107504621927,0.0,1.0,42.988321769031415,102.98832176903142
46,1.0,Motorbike,1.0,0.0,0.0,0,0,90.85535318615983,0.0,0.0,1.0,42.988321769031415,102.98832176903142
47,1.0,HDV,7.0,51842.59953550325,5.0,"[292.261961396922, 584.0962532593717, 117.24657193985638, 134.7376678644421]","[19812.407567514194, 13508.352492292224, 6114.833109688331, 6497.422011712772, 5909.584354295731]",83.79867519109149,1.5659775006197414,0.0,1.0,44.55429926965115,104.55429926965115
48,1.0,Motorbike,1.0,0.0,0.0,0,0,61.29759501566992,2.61260330569589,0.0,1.0,47.16690257534704,107.16690257534704
49,1.0,Private Car,2.0,0.0,0.0,0,0,63.75412387115103,5.7244709721371185,0.0,1.0,52.89137354748415,112.89137354748415
50,1.0,Motorbike,1.0,0.0,0.0,0,0,71.66620930578506,2.663901696009836,0.0,1.0,55.55527524349398,115.55527524349398
51,1.0,Motorbike,1.0,0.0,0.0,0,0,90.86906575501125,0.21007341089045017,0.0,1.0,55.765348654384425,115.76534865438443
52,1.0,Private Car,2.0,0.0,0.0,0,0,63.72253657063674,1.5725166190777793,0.0,1.0,57.3378652734622,117.3378652734622
53,1.0,Private Car,2.0,0.0,0.0,0,0,57.17375072582654,1.3937563088053435,0.0,1.0,58.731621582267536,118.73162158226754
54,1.0,Private Car,2.0,0.0,0.0,0,0,78.82798458759918,1.449106585698279,0.0,2.0,0.18072816796581037,120.18072816796581
55,1.0,Private Car,2.0,0.0,0.0,0,0,90.88431720675639,2.66107883153707,0.0,2.0,2.8418069995028787,122.84180699950288
56,1.0,HDV,8.0,19517.87202174371,3.0,"[517.6075160976823, 153.70446505738886]","[6952.867291754548, 4323.458906783608, 8241.545823205555]",61.31090272241956,1.5862107041258506,0.0,2.0,4.428017703628726,124.42801770362873
57,1.0,Private Car,2.0,0.0,0.0,0,0,62.339106504946464,2.6797770598477046,0.0,2.0,7.107794763476434,127.10779476347643
58,1.0,HDV,4.0,4568.3621998517765,2.0,[277.25848397624117],"[1907.7550910393766, 2660.6071088124004]",75.55095597832104,2.684542721299696,0.0,2.0,9.79233748477614,129.79233748477614
59,1.0,Private Car,2.0,0.0,0.0,0,0,67.01445162514455,0.14333803691382885,0.0,2.0,9.935675521689973,129.93567552168997
60,1.0,Private Car,2.0,0.0,0.0,0,0,70.19061614404218,2.6572069777070997,0.0,2.0,12.592882499397064,132.59288249939706
61,1.0,HDV,4.0,2446.1290883355173,2.0,[285.30677762536715],"[578.9454921971696, 1867.1835961383474]",66.93713854422205,0.08589170778456663,0.0,2.0,12.678774207181618,132.67877420718162
62,1.0,Motorbike,1.0,0.0,0.0,0,0,78.85125631144173,3.716442637504409,0.0,2.0,16.39521684468602,136.39521684468602
63,1.0,HDV,9.0,3606.0007087723816,2.0,[292.669030462998],"[3226.6754410283447, 379.3252677440372]",68.53135262161356,1.382558205107277,0.0,2.0,17.77777504979329,137.7777750497933
64,1.0,HDV,8.0,16773.5037165883,2.0,[605.7201844852043],"[4196.582767383154, 12576.920949205149]",78.82981695980965,9.6898918033742,0.0,2.0,27.467666853167486,147.4676668531675
65,1.0,Motorbike,1.0,0.0,0.0,0,0,58.20225583628345,1.5763566083196787,0.0,2.0,29.04402346148717,149.04402346148717
66,1.0,HDV,7.0,32105.435851427163,4.0,"[291.3486706370859, 1421.910424497112, 109.14283840706459]","[13086.54549946678, 8796.21831587392, 6138.771637174838, 4083.900398911628]",46.06616944972477,0.2931861048138128,0.0,2.0,29.33720956630097,149.33720956630097
67,1.0,Private Car,2.0,0.0,0.0,0,0,57.16237378773289,2.612801275191475,0.0,2.0,31.950010841492457,151.95001084149246
68,1.0,Private Car,2.0,0.0,0.0,0,0,68.54385367049872,4.75016385002431,0.0,2.0,36.700174691516764,156.70017469151676
69,1.0,HDV,8.0,25319.47850931041,2.0,[563.4297477402284],"[9041.347953382807, 16278.130555927604]",60.26477550445829,0.2860864189651674,0.0,2.0,36.986261110481934,156.98626111048193
70,1.0,HDV,6.0,13769.156771616828,3.0,"[376.37744919891105, 137.6260984336765]","[6214.313662652393, 5115.229026674688, 2439.614082289749]",60.269277291862984,1.5123999209519576,0.0,2.0,38.4986610314339,158.4986610314339
71,1.0,Motorbike,1.0,0.0,0.0,0,0,61.27553627472634,1.3990433052929716,0.0,2.0,39.89770433672686,159.89770433672686
72,1.0,Private Car,2.0,0.0,0.0,0,0,66.94834127482501,1.542115052193253,0.0,2.0,41.439819388920114,161.4398193889201
73,1.0,Private Car,2.0,0.0,0.0,0,0,71.66442319131097,1.5686157470046227,0.0,2.0,43.00843513592474,163.00843513592474
74,1.0,Motorbike,1.0,0.0,0.0,0,0,46.06624726596882,4.794839602336768,0.0,2.0,47.80327473826151,167.8032747382615
75,1.0,Private Car,2.0,0.0,0.0,0,0,73.4594362839484,7.727160421234146,0.0,2.0,55.53043515949565,175.53043515949565
76,1.0,Motorbike,1.0,0.0,0.0,0,0,56.14353055802646,4.801031187296362,0.0,3.0,0.3314663467920127,180.331466346792
77,1.0,HDV,5.0,9353.6325985191,2.0,[488.68764435277984],"[3810.0436228912013, 5543.588975627898]",87.8917181336868,0.33204461160769494,0.0,3.0,0.6635109583997121,180.6635109583997
78,1.0,Motorbike,1.0,0.0,0.0,0,0,85.85414965443022,0.0,0.0,3.0,0.6635109583997121,180.6635109583997
79,1.0,HDV,6.0,18906.431496079498,3.0,"[396.25986355568, 150.92281616026244]","[7274.825451692524, 4004.1031368981353, 7627.502907488838]",71.68006154215286,1.5225140940917656,0.0,3.0,2.1860250524914875,182.1860250524915
80,1.0,Private Car,2.0,0.0,0.0,0,0,66.93443483256374,1.3505329745701533,0.0,3.0,3.5365580270616306,183.53655802706163
81,1.0,Motorbike,1.0,0.0,0.0,0,0,70.17965025217835,0.21367035362861098,0.0,3.0,3.7502283806902312,183.75022838069023
82,1.0,HDV,8.0,1781.3072193346761,2.0,[563.4299379195062],"[957.8552035164413, 823.4520158182347]",68.5178823238554,0.2600054703755661,0.0,3.0,4.010233851065806,184.0102338510658
83,1.0,Motorbike,1.0,0.0,0.0,0,0,68.54970597373985,3.7104816135907925,0.0,3.0,7.7207154646565925,187.7207154646566
84,1.0,Private Car,2.0,0.0,0.0,0,0,2.004099754491376,1.4148454414037555,0.0,3.0,9.135560906060334,189.13556090606033
85,1.0,Motorbike,1.0,0.0,0.0,0,0,68.56665753975717,2.690376149703602,0.0,3.0,11.825937055763944,191.82593705576394
86,1.0,Motorbike,1.0,0.0,0.0,0,0,4.016766169897895,1.4708468672695407,0.0,3.0,13.296783923033473,193.29678392303347
87,1.0,Private Car,2.0,0.0,0.0,0,0,60.24148279535408,6.743547574756482,0.0,3.0,20.040331497789964,200.04033149778996
88,1.0,HDV,7.0,62593.586374011866,5.0,"[331.6168384635778, 797.7469267088487, 119.30099514182632, 136.7659946219651]","[12368.816493970342, 35420.461926462034, 4051.0860004138176, 4912.529206210305, 5840.692746955369]",59.22722403625913,6.759246141239093,0.0,3.0,26.799577639029053,206.79957763902905
89,1.0,Private Car,2.0,0.0,0.0,0,0,63.71788806732038,0.0,0.0,3.0,26.799577639029053,206.79957763902905
90,1.0,HDV,9.0,3850.8902540133736,2.0,[195.05541565982796],"[1847.1218985199075, 2003.7683554934656]",63.787094020405526,1.3777466019658247,0.0,3.0,28.177324240994864,208.17732424099486
91,1.0,Motorbike,1.0,0.0,0.0,0,0,70.16676454745502,2.6233760318188986,0.0,3.0,30.80070027281377,210.80070027281377
92,1.0,HDV,8.0,28413.10349335116,3.0,"[476.2793232410237, 145.54376843115085]","[7424.013716774348, 8122.613217575732, 12866.47655900108]",63.76938776267119,2.571324618594996,0.0,3.0,33.372024891408756,213.37202489140876
93,1.0,HDV,8.0,22522.783621624556,3.0,"[508.5310585760648, 138.3313393875946]","[7543.946582235721, 9333.24046119013, 5645.596578198702]",81.62440333770684,0.0,0.0,3.0,33.372024891408756,213.37202489140876
94,1.0,Private Car,2.0,0.0,0.0,0,0,63.72923987564714,0.11671061693839484,0.0,3.0,33.48873550834716,213.48873550834716
95,1.0,Private Car,2.0,0.0,0.0,0,0,63.7404343847913,1.3780722371730112,0.0,3.0,34.86680774552016,214.86680774552016
96,1.0,Private Car,2.0,0.0,0.0,0,0,4.019824179019891,0.2432176878942222,0.0,3.0,35.11002543341439,215.1100254334144
97,1.0,Private Car,2.0,0.0,0.0,0,0,52.093615606151225,0.06248901920922152,0.0,3.0,35.1725144526236,215.1725144526236
98,1.0,HDV,7.0,15951.636628583026,5.0,"[326.56203417899485, 544.0671446443182, 117.26783440216848, 128.52696468372125]","[3887.7318437780514, 3812.593914939877, 1770.0332092115011, 1990.1557792578315, 4491.121881395766]",62.336573315144626,0.1923110429202716,0.0,3.0,35.36482549554387,215.36482549554387
99,1.0,HDV,4.0,6458.82228985708,2.0,[326.50744275303805],"[3215.95147343588, 3242.8708164212003]",59.21210213355025,1.515133713772075,0.0,3.0,36.879959209315956,216.87995920931596
100,1.0,Private Car,2.0,0.0,0.0,0,0,73.38383557038526,0.3051273031711369,0.0,3.0,37.18508651248709,217.1850865124871
101,1.0,Private Car,2.0,0.0,0.0,0,0,54.12073684389717,2.6162970512187718,0.0,3.0,39.801383563705855,219.80138356370585
102,1.0,Private Car,2.0,0.0,0.0,0,0,62.345445795589285,5.727044092046007,0.0,3.0,45.52842765575187,225.52842765575187
103,1.0,Motorbike,1.0,0.0,0.0,0,0,65.42998150203586,2.6089055864141946,0.0,3.0,48.13733324216605,228.13733324216605
104,1.0,Private Car,2.0,0.0,0.0,0,0,52.09219435318049,0.0,0.0,3.0,48.13733324216605,228.13733324216605
105,1.0,Private Car,2.0,0.0,0.0,0,0,70.21243134741232,1.4948907937599505,0.0,3.0,49.632224035926015,229.63222403592601
106,1.0,Motorbike,1.0,0.0,0.0,0,0,85.84047072342318,2.6278412686864456,0.0,3.0,52.26006530461245,232.26006530461245
107,1.0,Motorbike,1.0,0.0,0.0,0,0,68.5456927420656,3.7671135613793933,0.0,3.0,56.02717886599186,236.02717886599186
108,1.0,Private Car,2.0,0.0,0.0,0,0,5.024496659327277,0.0,0.0,3.0,56.02717886599186,236.02717886599186
109,1.0,Private Car,2.0,0.0,0.0,0,0,90.86050367354812,1.4717097895433895,0.0,3.0,57.49888865553524,237.49888865553524
110,1.0,HDV,5.0,17223.31395942666,2.0,[436.6244249684949],"[6584.840973710881, 10638.47298571578]",50.08536106629819,0.1524607282349178,0.0,3.0,57.65134938377017,237.65134938377017
111,1.0,Motorbike,1.0,0.0,0.0,0,0,68.51667067519695,0.14727204078673173,0.0,3.0,57.7986214245569,237.7986214245569
112,1.0,Motorbike,1.0,0.0,0.0,0,0,66.98249314095912,1.2378355539676669,0.0,3.0,59.03645697852457,239.03645697852457
113,1.0,Private Car,2.0,0.0,0.0,0,0,66.92518022891448,0.2141631093806472,0.0,3.0,59.25062008790522,239.25062008790522
114,1.0,HDV,8.0,24343.953749864086,3.0,"[504.4825289743898, 152.68018567037143]","[8194.737837171133, 8026.934952224976, 8122.280960467974]",78.8599810493196,2.628033181090072,0.0,4.0,1.8786532689952935,241.8786532689953
115,1.0,Private Car,2.0,0.0,0.0,0,0,68.51576827323056,1.3578598744448487,0.0,4.0,3.236513143440135,243.23651314344013
116,1.0,Private Car,2.0,0.0,0.0,0,0,77.58549486459731,1.3877451422467386,0.0,4.0,4.624258285686864,244.62425828568686
117,1.0,Private Car,2.0,0.0,0.0,0,0,75.51067814292968,1.4409190108316832,0.0,4.0,6.065177296518556,246.06517729651856
118,1.0,Motorbike,1.0,0.0,0.0,0,0,81.65084461201609,3.723549718701411,0.0,4.0,9.788727015219962,249.78872701521996
119,1.0,HDV,5.0,8194.06967896384,2.0,[334.20003960192383],"[2631.449297498776, 5562.620381465064]",51.08662331950822,1.3398610522122731,0.0,4.0,11.128588067432247,251.12858806743225
120,1.0,HDV,6.0,21156.85277925548,3.0,"[417.6536335204709, 144.84217725168816]","[6191.853781201342, 9220.367729726857, 5744.6312683272845]",75.5113389428868,1.4756563118603399,0.0,4.0,12.604244379292595,252.6042443792926
121,1.0,Private Car,2.0,0.0,0.0,0,0,65.43347485369324,3.6802945835977803,0.0,4.0,16.284538962890394,256.2845389628904
122,1.0,HDV,8.0,23667.595459771812,3.0,"[533.4380582196244, 162.8863140558215]","[8009.919939754651, 5603.773867959208, 10053.901652057952]",4.020021639784496,0.10740566435193685,0.0,4.0,16.39194462724231,256.3919446272423
123,1.0,Motorbike,1.0,0.0,0.0,0,0,75.48842193139382,1.2862978359863197,0.0,4.0,17.678242463228628,257.6782424632286
124,1.0,Motorbike,1.0,0.0,0.0,0,0,81.59023628362476,1.4027180274702749,0.0,4.0,19.080960490698885,259.0809604906989
125,1.0,HDV,6.0,7854.299374300078,3.0,"[356.1506807828042, 137.59313556562233]","[1173.9728626209114, 3589.296027497112, 3091.030484182055]",105.96119400749312,0.11504790389742019,0.0,4.0,19.196008394596333,259.19600839459633
126,1.0,Motorbike,1.0,0.0,0.0,0,0,85.86329659302473,0.07994811878113736,0.0,4.0,19.27595651337748,259.2759565133775
127,1.0,Motorbike,1.0,0.0,0.0,0,0,81.66452612149683,0.1360889315404084,0.0,4.0,19.412045444917908,259.4120454449179
128,1.0,Private Car,2.0,0.0,0.0,0,0,71.64727230649942,3.684467019565097,0.0,4.0,23.096512464483,263.096512464483
129,1.0,Motorbike,1.0,0.0,0.0,0,0,71.68022816725158,1.3355174754399435,0.0,4.0,24.432029939922927,264.4320299399229
130,1.0,Private Car,2.0,0.0,0.0,0,0,60.267798082576505,0.2990192150701908,0.0,4.0,24.731049154993116,264.7310491549931
131,1.0,Private Car,2.0,0.0,0.0,0,0,58.19806320769864,0.34102264735665744,0.0,4.0,25.072071802349797,265.0720718023498
132,1.0,Private Car,2.0,0.0,0.0,0,0,68.52241669853687,3.728277479051259,0.0,4.0,28.800349281401054,268.80034928140105
133,1.0,HDV,9.0,5089.013745556111,4.0,"[48.426965289654405, 388.7816730157662, 130.44734089214833]","[1244.941313168878, 1291.8270683044245, 1052.2547621844437, 1499.9906018983647]",83.80634680938098,0.08921859503983635,0.0,4.0,28.88956787644088,268.8895678764409
134,1.0,Motorbike,1.0,0.0,0.0,0,0,77.59565706778449,1.2973226292001214,0.0,4.0,30.186890505640974,270.186890505641
135,1.0,HDV,3.0,6688.947484159114,2.0,[303.07242330491266],"[4300.207308954446, 2388.740175204669]",61.27183075285891,1.347295256478593,0.0,4.0,31.53418576211959,271.5341857621196
136,1.0,HDV,8.0,29768.221719079917,3.0,"[498.87530375051574, 156.75967381343082]","[8787.16024627962, 8625.110267509985, 12355.951205290312]",85.8658803325994,0.28712480420882097,0.0,4.0,31.821310566328407,271.8213105663284
137,1.0,Private Car,2.0,0.0,0.0,0,0,78.84903855795439,0.291937025500132,0.0,4.0,32.113247591828554,272.11324759182855
138,1.0,Private Car,2.0,0.0,0.0,0,0,73.42375233863567,0.14119421348734856,0.0,4.0,32.25444180531588,272.2544418053159
139,1.0,Private Car,2.0,0.0,0.0,0,0,4.018474798866322,0.0,0.0,4.0,32.25444180531588,272.2544418053159
140,1.0,Private Car,2.0,0.0,0.0,0,0,77.61228517720446,1.4969354868744964,0.0,4.0,33.7513772921904,273.7513772921904
141,1.0,Private Car,2.0,0.0,0.0,0,0,93.90275531163849,0.048268029653965615,0.0,4.0,33.799645321844366,273.79964532184437
142,1.0,Private Car,2.0,0.0,0.0,0,0,85.84590554328635,0.0600785519377849,0.0,4.0,33.85972387378217,273.8597238737822
143,1.0,HDV,8.0,23875.70850063728,2.0,[248.0379553267218],"[7304.009947117829, 16571.69855351945]",53.10326024153527,4.727313997625094,0.0,4.0,38.58703787140729,278.5870378714073
144,1.0,HDV,8.0,19465.84813118238,3.0,"[486.3263967252726, 99.01610134012667]","[4716.59048743785, 8146.9460756404305, 6602.3115681041]",58.19114316657596,0.29806797984660904,0.0,4.0,38.88510585125391,278.8851058512539
145,1.0,Private Car,2.0,0.0,0.0,0,0,56.15322093098856,0.26453236371168304,0.0,4.0,39.14963821496559,279.1496382149656
146,1.0,Motorbike,1.0,0.0,0.0,0,0,58.180913710959146,0.19732440867883827,0.0,4.0,39.3469626236444,279.3469626236444
147,1.0,Motorbike,1.0,0.0,0.0,0,0,66.94163623633013,1.5375546196610932,0.0,4.0,40.88451724330548,280.8845172433055
148,1.0,Private Car,2.0,0.0,0.0,0,0,75.49336708946582,0.13211852068404925,0.0,4.0,41.01663576398954,281.01663576398954
149,1.0,Motorbike,1.0,0.0,0.0,0,0,5.021726750167204,0.243611313978055,0.0,4.0,41.26024707796762,281.2602470779676
150,1.0,HDV,7.0,19801.045461746915,5.0,"[288.22037807036594, 750.8030320013492, 136.6897308513211, 137.7913958996692]","[7101.537080128389, 4640.309849494017, 1724.6607917843598, 3491.849747144236, 2842.6879931959143]",61.31033495070071,2.6248588495690037,0.0,4.0,43.88510592753664,283.88510592753664
151,1.0,HDV,9.0,2184.651040580683,2.0,[249.28999399332605],"[1736.953360726039, 447.6976798546441]",68.55374627003604,0.08330987752959809,0.0,4.0,43.96841580506623,283.96841580506623
152,1.0,Motorbike,1.0,0.0,0.0,0,0,90.87219648346387,1.4024736870747987,0.0,4.0,45.37088949214103,285.37088949214103
153,1.0,Motorbike,1.0,0.0,0.0,0,0,56.146842290077345,0.24166096095867837,0.0,4.0,45.612550453099686,285.6125504530997
154,1.0,HDV,9.0,4424.207816382389,4.0,"[192.79411735473388, 463.68271297524336, 135.32171455397912]","[416.61614321922644, 691.6958922957223, 1697.0967639333192, 1618.7990169341208]",126.97138965923705,6.713679925449229,0.0,4.0,52.32623037854893,292.3262303785489
155,1.0,HDV,8.0,17475.860312266173,2.0,[635.8564561263051],"[1259.0086317884102, 16216.851680477761]",61.29776836452979,1.5936026637895313,0.0,4.0,53.91983304233844,293.91983304233844
156,1.0,Private Car,2.0,0.0,0.0,0,0,78.83988351732263,0.0878479740647604,0.0,4.0,54.00768101640318,294.0076810164032
157,1.0,HDV,8.0,31081.75778699259,3.0,"[503.4773889849421, 157.8077422278192]","[9535.129340481693, 9313.893764711225, 12232.734681799671]",65.46037659085059,3.7060624626060754,0.0,4.0,57.71374347900928,297.7137434790093
158,1.0,Private Car,2.0,0.0,0.0,0,0,77.58859504899297,0.35424664715939874,0.0,4.0,58.067990126168695,298.0679901261687
159,1.0,Motorbike,1.0,0.0,0.0,0,0,66.98626628384613,2.5900706399526183,0.0,5.0,0.6580607661213094,300.6580607661213
160,1.0,Private Car,2.0,0.0,0.0,0,0,78.86050555221112,0.12426919683591837,0.0,5.0,0.7823299629572489,300.78232996295725
161,1.0,HDV,9.0,40103.117815386846,2.0,[238.2958533880337],"[27790.89501229152, 12312.222803095325]",90.8779834488209,2.6629371039234444,0.0,5.0,3.4452670668807173,303.4452670668807
162,1.0,Motorbike,1.0,0.0,0.0,0,0,87.89788686593351,1.2936362262018324,0.0,5.0,4.738903293082558,304.73890329308256
163,1.0,Private Car,2.0,0.0,0.0,0,0,73.44819847695778,1.3769703212873725,0.0,5.0,6.115873614369946,306.11587361436995
164,1.0,Motorbike,1.0,0.0,0.0,0,0,56.150228378632036,1.2703517375195703,0.0,5.0,7.386225351889493,307.3862253518895
165,1.0,Motorbike,1.0,0.0,0.0,0,0,60.24372267067055,1.5903267909903893,0.0,5.0,8.976552142879882,308.9765521428799
166,1.0,Motorbike,1.0,0.0,0.0,0,0,83.81693373516171,1.4738524609803738,0.0,5.0,10.45040460386025,310.45040460386025
167,1.0,Motorbike,1.0,0.0,0.0,0,0,93.89629978810694,6.747864633960798,0.0,5.0,17.198269237821023,317.198269237821
